Symbol,Direction,PValue,Dataset
AKAP1,-1,7.96E-09,Discovery
RPS27L,1,2.03E-06,Discovery
CCNB1,-1,1.50E-07,Discovery
NQO2,-1,1.32E-07,Discovery
PSTPIP2,1,3.06E-10,Discovery
AKR1C3,1,0.01180377589,Discovery
FLJ34969,-1,5.20E-07,Discovery
MGC20983,1,1.70E-05,Discovery
PBLD,-1,1.72E-09,Discovery
RPL13A,1,1.64E-07,Discovery
PIAS2,-1,1.24E-08,Discovery
MREG,1,1.34E-08,Discovery
C14orf132,1,1.45E-08,Discovery
PTGES,1,2.00E-08,Discovery
TP53INP1,1,5.80E-10,Discovery
GLCE,-1,3.05E-07,Discovery
CTSD,1,1.35E-08,Discovery
UBE2C,-1,1.15E-09,Discovery
ITGB1,1,1.56E-07,Discovery
CD68,1,1.18E-05,Discovery
LOC644563,-1,8.06E-09,Discovery
ZNF703,-1,1.82E-09,Discovery
HLA-DRB1,1,1.98E-08,Discovery
SCYE1,-1,2.11E-09,Discovery
NUP188,-1,3.72E-08,Discovery
PPIL5,-1,4.40E-09,Discovery
DSN1,-1,4.42E-08,Discovery
ARMCX6,1,2.80E-05,Discovery
ANKRD1,1,2.47E-08,Discovery
CENPE,-1,0.003584935696,Discovery
FOXM1,-1,1.68E-10,Discovery
DTYMK,-1,1.01E-08,Discovery
ENAH,-1,2.58E-05,Discovery
RPL27A,-1,7.32E-11,Discovery
FADS3,1,0.0001332798713,Discovery
OPN3,1,3.31E-10,Discovery
DSTN,1,2.92E-07,Discovery
IGBP1,1,4.75E-06,Discovery
MTMR6,-1,5.91E-07,Discovery
PROCR,1,1.23E-05,Discovery
C9orf100,-1,5.90E-08,Discovery
OPTN,1,2.70E-13,Discovery
C19orf33,1,6.67E-12,Discovery
MGC11102,-1,2.58E-11,Discovery
TRMT11,-1,5.62E-10,Discovery
FLJ22655,-1,5.24E-11,Discovery
BZW1,-1,1.14E-09,Discovery
PARP12,1,9.45E-12,Discovery
C20orf177,-1,6.15E-05,Discovery
CCDC24,1,2.18E-07,Discovery
SMC3,-1,4.35E-05,Discovery
SPHAR,-1,5.31E-09,Discovery
WBSCR27,1,1.21E-08,Discovery
CKS1B,-1,1.05E-08,Discovery
P4HB,1,6.64E-09,Discovery
ECT2,-1,1.39E-05,Discovery
FH,-1,7.92E-10,Discovery
LOC731786,1,6.14E-11,Discovery
SLC27A3,-1,2.62E-08,Discovery
FAM72A,-1,8.00E-11,Discovery
MGC17330,1,1.17E-11,Discovery
C9orf45,-1,1.75E-06,Discovery
CCL2,1,2.31E-06,Discovery
ZFAND3,1,6.13E-09,Discovery
KLF10,1,2.08E-09,Discovery
SFRS12,-1,2.28E-08,Discovery
GMNN,-1,1.03E-10,Discovery
ADSSL1,1,8.50E-07,Discovery
CENPN,-1,4.72E-08,Discovery
C6orf72,1,1.93E-09,Discovery
ZFP36,1,3.73E-08,Discovery
SC4MOL,-1,2.86E-07,Discovery
SP4,-1,4.01E-07,Discovery
PARP10,1,5.99E-07,Discovery
USP6,-1,2.58E-12,Discovery
CTNNAL1,-1,1.69E-08,Discovery
ARMC1,-1,1.45E-05,Discovery
RWDD2,1,4.14E-07,Discovery
TFF1,1,3.86E-07,Discovery
UNG,1,1.56E-05,Discovery
DUS3L,-1,3.49E-06,Discovery
CEL,1,3.62E-08,Discovery
PVALB,-1,7.95E-09,Discovery
BST2,1,5.55E-10,Discovery
HK2,-1,2.21E-09,Discovery
IFI44L,1,3.05E-09,Discovery
LGALS1,1,7.15E-05,Discovery
LIN54,-1,2.28E-06,Discovery
