Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
SH2D4A,2,TRUE,-3.528531559,0.0004178721167,0.01027154005
TNFRSF10A,2,TRUE,8.801401464,1.35E-18,2.14E-15
FCGRT,2,TRUE,5.639227142,1.71E-08,3.05E-06
BBC3,4,TRUE,3.360331833,0.0007784890774,0.0167885745
LIG1,2,TRUE,-3.709185057,0.0002079274187,0.006281988529
CAV1,3,TRUE,-3.757197392,0.0001718269578,0.005458290044
HIBADH,2,TRUE,-3.119836046,0.001809517276,0.03185908094
POLD2,2,TRUE,-4.101483341,4.11E-05,0.001732215642
TGFBR1,2,TRUE,-3.477758455,0.0005056253355,0.01183125901
C5,2,TRUE,5.241592905,1.59E-07,1.92E-05
PHYH,2,TRUE,3.871829337,0.0001080215779,0.003736188948
CXCL12,4,TRUE,-4.478977371,7.50E-06,0.0004654136147
MTPAP,2,TRUE,-2.973527184,0.002943983281,0.0453932818
MTMR4,2,TRUE,-3.982410254,6.82E-05,0.002657217143
AREG,2,TRUE,12.50258321,7.23E-36,9.15E-32
SIAE,2,TRUE,3.175679157,0.001494861836,0.02755046827
LPXN,2,TRUE,5.023973813,5.06E-07,5.25E-05
TSPAN11,2,TRUE,3.70069493,0.0002150098402,0.006425219158
GLI1,2,TRUE,-3.450767653,0.000558994584,0.01281940659
CREBL2,3,TRUE,4.272231247,1.94E-05,0.00100815711
GAPDH,2,TRUE,-3.462497449,0.0005351869886,0.01240830053
NOP2,2,TRUE,-4.333242834,1.47E-05,0.0008051830339
NT5DC3,2,TRUE,-3.358922925,0.0007824688776,0.01684570327
SUDS3,2,TRUE,5.57001796,2.55E-08,4.30E-06
BACH2,2,TRUE,-4.335297164,1.46E-05,0.0008011679876
CUL9,2,TRUE,3.028600037,0.00245689719,0.03987418144
MAN2A1,3,TRUE,-3.192697707,0.001409504181,0.02651250137
SEMA5A,3,TRUE,-3.937164079,8.25E-05,0.003042953904
TMCO6,2,TRUE,-3.17009867,0.001523871809,0.0279170669
POLR3G,2,TRUE,-3.556731464,0.0003754976411,0.009479653296
TRIM23,2,TRUE,3.097069008,0.001954443701,0.03387166311
DPYSL3,3,TRUE,-4.808785981,1.52E-06,0.0001264648036
TBCCD1,2,TRUE,-4.401268844,1.08E-05,0.000611083084
CEP70,3,TRUE,2.958210025,0.003094312177,0.04713706119
KAT2B,2,TRUE,4.167052408,3.09E-05,0.001415255917
TP53I3,2,TRUE,5.557825391,2.73E-08,4.55E-06
CENPA,2,TRUE,4.944324216,7.64E-07,7.22E-05
FNDC4,2,TRUE,3.402377725,0.0006680224021,0.0147840832
PLCD4,2,TRUE,6.879938671,5.99E-12,3.45E-09
SLC1A4,2,TRUE,-3.147122753,0.001648857236,0.02969115754
PNO1,2,TRUE,-4.990522983,6.02E-07,6.15E-05
FBXO6,2,TRUE,2.996121619,0.002734373539,0.04278669299
OLFML3,3,TRUE,-6.202188063,5.57E-10,1.53E-07
PHTF1,3,TRUE,3.123407843,0.001787698396,0.0316272011
ST6GALNAC5,2,TRUE,-3.496807287,0.0004708618499,0.01122531103
CNN3,2,TRUE,-3.955893896,7.62E-05,0.002898606884
NEK2,3,TRUE,4.873654243,1.10E-06,9.77E-05
STX12,2,TRUE,3.044172737,0.002333211297,0.038308848
KLF7,2,TRUE,-3.202438112,0.001362695774,0.02594039971
ELOVL4,2,TRUE,3.184003769,0.001452531211,0.02687647693
MYB,2,TRUE,-4.708282891,2.50E-06,0.0001861367093
PMFBP1,2,TRUE,3.018419911,0.002540965543,0.04071656051
HEATR1,2,TRUE,-4.112282237,3.92E-05,0.001671110587
NPC2,2,TRUE,4.825496895,1.40E-06,0.0001181522126
YPEL5,2,TRUE,3.215194551,0.001303561419,0.02515515854
ELOVL3,2,TRUE,3.381335422,0.0007213442975,0.0157168631
IFIT3,2,TRUE,4.591426039,4.40E-06,0.0002980129322
IFIT2,2,TRUE,4.921926421,8.57E-07,7.80E-05
PLXDC2,2,TRUE,-4.940683692,7.78E-07,7.30E-05
ENOX1,2,TRUE,-4.111328598,3.93E-05,0.001671110587
FAM53C,3,TRUE,3.312162721,0.0009257768139,0.01918070161
UTP20,2,TRUE,-4.465248243,8.00E-06,0.0004844094523
TNFRSF10B,3,TRUE,4.773822655,1.81E-06,0.0001452762016
AKAP1,2,TRUE,-4.648720956,3.34E-06,0.0002310438379
ACVR2A,2,TRUE,-3.8254103,0.0001305544653,0.004326410932
CCDC18,2,TRUE,4.465933364,7.97E-06,0.0004844094523
BICC1,3,TRUE,-4.625394014,3.74E-06,0.0002558397286
CDKN2C,2,TRUE,3.080426261,0.002067045313,0.03512312297
NMI,2,TRUE,3.946594647,7.93E-05,0.002960137029
XPO5,2,TRUE,-3.90308157,9.50E-05,0.003349016948
CDKN1A,3,TRUE,10.56115137,4.51E-26,2.86E-22
CPNE5,2,TRUE,4.729646312,2.25E-06,0.0001715152032
HS3ST3B1,2,TRUE,-4.147272871,3.36E-05,0.001515741698
DDX31,3,TRUE,-3.866154536,0.0001105648941,0.003767129617
POLR1B,3,TRUE,-3.559447825,0.0003716353539,0.00940906389
BFSP1,2,TRUE,3.090990384,0.001994900945,0.03423339622
TRAP1,2,TRUE,-3.450077852,0.0005604249101,0.01282896734
TNFRSF19,2,TRUE,-4.2590033,2.05E-05,0.001055847676
PAICS,3,TRUE,-3.533323057,0.0004103706833,0.01016611053
TPST2,2,TRUE,-4.118067105,3.82E-05,0.00165634975
CLN6,2,TRUE,-3.598134896,0.0003205073799,0.008417640918
CDKN1C,4,TRUE,3.213639072,0.001310643095,0.02521494063
GDF15,4,TRUE,9.168249587,4.81E-20,1.01E-16
PGPEP1,4,TRUE,5.418947401,6.00E-08,8.72E-06
OSBPL2,3,TRUE,2.966428794,0.003012801164,0.04617318395
EIF2S3,2,TRUE,-2.971847995,0.002960131988,0.04553136189
DKC1,2,TRUE,-4.708157159,2.50E-06,0.0001861367093
MPP1,2,TRUE,3.174192298,0.00150254109,0.02764631927
RFTN1,2,TRUE,-4.452245834,8.50E-06,0.0005122482255
MGAT1,2,TRUE,-3.710076943,0.0002071962659,0.006274874475
THOC6,2,TRUE,-3.290741353,0.0009992374236,0.0202713887
GCH1,3,TRUE,4.326136847,1.52E-05,0.0008244495352
TRIM22,3,TRUE,5.370410653,7.86E-08,1.09E-05
RAP1GAP2,2,TRUE,-3.188314086,0.001431050011,0.02671926561
MYBBP1A,2,TRUE,-3.278733578,0.001042740296,0.02091925422
NIP7,2,TRUE,-4.089620659,4.32E-05,0.001799240564
DCAF8,3,TRUE,3.136711027,0.001708544329,0.0305355396
DPH2,3,TRUE,-4.846809077,1.25E-06,0.0001095335792
TRPC4,2,TRUE,-4.678284628,2.89E-06,0.0002068958383
SLC2A11,2,TRUE,3.686918259,0.0002269862275,0.006605560124
LRRIQ1,2,TRUE,3.693329431,0.0002213369898,0.006488766091
MICAL2,2,TRUE,-4.17560154,2.97E-05,0.001378113673
CCNB1,2,TRUE,3.630825601,0.000282516046,0.007724342604
FKBP11,2,TRUE,-5.303414076,1.14E-07,1.47E-05
DDB2,2,TRUE,3.32620301,0.0008803778273,0.01863662695
FHOD3,2,TRUE,-6.065312273,1.32E-09,3.09E-07
STT3A,2,TRUE,-4.699958232,2.60E-06,0.0001904079755
HILPDA,2,TRUE,-3.492047668,0.0004793326963,0.01138437636
AGAP2,2,TRUE,2.95172012,0.003160092194,0.04796595574
CDK4,2,TRUE,-5.248249854,1.54E-07,1.87E-05
PKIB,2,TRUE,-4.977594724,6.44E-07,6.37E-05
SMYD5,2,TRUE,-3.742285162,0.0001823544147,0.005699813669
MDM2,5,TRUE,6.26081416,3.83E-10,1.21E-07
URB2,2,TRUE,-5.039552646,4.67E-07,4.88E-05
KIAA1614,2,TRUE,3.166811555,0.001541201556,0.02815305988
CKAP2,3,TRUE,2.944988826,0.003229663262,0.04868317977
TBC1D4,2,TRUE,-4.202319186,2.64E-05,0.001266831475
SPRY2,2,TRUE,3.02702129,0.00246976563,0.03993697979
BZW2,2,TRUE,-3.851386716,0.0001174508587,0.003964827788
IMP4,3,TRUE,-5.361378553,8.26E-08,1.14E-05
ANGPTL2,6,TRUE,6.851392887,7.31E-12,3.86E-09
POLR1E,2,TRUE,-3.284916826,0.001020124812,0.02059610844
ALDH1B1,3,TRUE,-4.935782483,7.98E-07,7.38E-05
FOXF2,2,TRUE,-3.029339966,0.002450887136,0.03982770251
TCF19,5,TRUE,-5.182842484,2.19E-07,2.45E-05
FAM8A1,3,TRUE,3.99815378,6.38E-05,0.002502741765
MRPL15,2,TRUE,-3.619044865,0.0002956923763,0.007947281937
KIF23,2,TRUE,3.047468268,0.002307778902,0.03802641343
PAK6,2,TRUE,5.462569927,4.69E-08,7.16E-06
GCHFR,2,TRUE,3.385223397,0.0007112034737,0.01555963895
ADCY3,2,TRUE,-4.701690563,2.58E-06,0.0001898970018
KIF20B,2,TRUE,4.771920978,1.82E-06,0.0001452762016
GPR87,2,TRUE,9.130048382,6.85E-20,1.24E-16
HECW2,2,TRUE,-4.574022903,4.78E-06,0.000322163137
COX17,3,TRUE,4.254138302,2.10E-05,0.001071194231
APH1B,2,TRUE,3.987230941,6.68E-05,0.002611854415
HERC5,2,TRUE,4.023428191,5.74E-05,0.002305026182
EGF,2,TRUE,7.909809565,2.58E-15,2.97E-12
GABARAPL1,3,TRUE,3.020293297,0.002525300129,0.04067146862
PRICKLE1,2,TRUE,-3.699505909,0.0002160196109,0.006425219158
TMEM19,2,TRUE,5.960229115,2.52E-09,5.59E-07
PMM2,2,TRUE,-3.354115874,0.0007961901369,0.01705409635
TAF4B,2,TRUE,-3.53824454,0.0004027968307,0.01006030493
SAT2,2,TRUE,3.490546739,0.0004820332884,0.01140815018
SAMD1,3,TRUE,-3.700062148,0.0002155466749,0.006425219158
EVI5L,2,TRUE,3.701205709,0.0002145774262,0.006425219158
SLC44A3,2,TRUE,4.09493571,4.22E-05,0.001764261648
UCK2,2,TRUE,-4.486115605,7.25E-06,0.0004568160492
NUF2,2,TRUE,3.118426284,0.001818196184,0.0319674243
MRPL24,2,TRUE,-3.074367167,0.002109496377,0.03551079074
HHIPL2,2,TRUE,-3.541473833,0.0003978983227,0.009994037435
ETNK2,2,TRUE,3.580978281,0.0003423101118,0.008825465794
PPFIA4,2,TRUE,-4.424196726,9.68E-06,0.0005699598866
MEIS1,2,TRUE,-3.183660471,0.001454254811,0.02687647693
THNSL2,2,TRUE,4.487725301,7.20E-06,0.0004556459321
AFF3,2,TRUE,-3.141313363,0.001681919689,0.0301578206
AMMECR1L,2,TRUE,-3.622493386,0.0002917769232,0.007909216426
TMEFF2,2,TRUE,2.979205119,0.002889972458,0.04477865526
CDCA7,4,TRUE,-3.620145784,0.0002944370762,0.007930851241
PHOSPHO2,2,TRUE,3.642132894,0.0002703884156,0.007489818277
FAM171B,2,TRUE,3.166811555,0.001541201556,0.02815305988
ADAMTS16,2,TRUE,-3.089716524,0.00200347614,0.0343193565
SKP2,2,TRUE,-4.768163216,1.86E-06,0.0001452762016
SSBP2,3,TRUE,-3.150295527,0.001631053839,0.02945436598
GFOD1,3,TRUE,-4.007803008,6.13E-05,0.002424443978
