Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
WNT5B,2,TRUE,-2.773880903,0.005539195265,0.04549408756
CREBL2,3,TRUE,4.272231247,1.94E-05,0.0006074456901
GAPDH,2,TRUE,-3.462497449,0.0005351869886,0.007521467304
NOP2,2,TRUE,-4.333242834,1.47E-05,0.0004850171988
NT5DC3,2,TRUE,-3.358922925,0.0007824688776,0.01016126505
SUDS3,2,TRUE,5.57001796,2.55E-08,2.31E-06
BACH2,2,TRUE,-4.335297164,1.46E-05,0.0004817543314
CUL9,2,TRUE,3.028600037,0.00245689719,0.0245785917
MAN2A1,3,TRUE,-3.192697707,0.001409504181,0.01604849903
SEMA5A,3,TRUE,-3.937164079,8.25E-05,0.001820480106
TMCO6,2,TRUE,-3.17009867,0.001523871809,0.01698731445
POLR3G,2,TRUE,-3.556731464,0.0003754976411,0.005703554405
TRIM23,2,TRUE,3.097069008,0.001954443701,0.02061768644
DPYSL3,3,TRUE,-4.808785981,1.52E-06,7.61E-05
TBCCD1,2,TRUE,-4.401268844,1.08E-05,0.0003736963148
CEP70,3,TRUE,2.958210025,0.003094312177,0.02919485825
KAT2B,2,TRUE,4.167052408,3.09E-05,0.0008569347185
TTL,4,TRUE,-2.788707636,0.005291881322,0.04412963738
FNDC4,2,TRUE,3.402377725,0.0006680224021,0.008992609259
PCGF1,2,TRUE,-2.773763315,0.005541197671,0.04549408756
PLCD4,2,TRUE,6.879938671,5.99E-12,1.53E-09
SLC1A4,2,TRUE,-3.147122753,0.001648857236,0.01809634982
PNO1,2,TRUE,-4.990522983,6.02E-07,3.59E-05
FBXO2,2,TRUE,2.93384019,0.003347965406,0.03103792312
FBXO6,2,TRUE,2.996121619,0.002734373539,0.0265035068
PHTF1,3,TRUE,3.123407843,0.001787698396,0.01918407998
ST6GALNAC5,2,TRUE,-3.496807287,0.0004708618499,0.006820022826
CNN3,2,TRUE,-3.955893896,7.62E-05,0.001724287615
NEK2,3,TRUE,4.873654243,1.10E-06,5.88E-05
STX12,2,TRUE,3.044172737,0.002333211297,0.02361868012
KLF7,2,TRUE,-3.202438112,0.001362695774,0.01568525785
ELOVL4,2,TRUE,3.184003769,0.001452531211,0.01635483204
MYB,2,TRUE,-4.708282891,2.50E-06,0.0001141121991
PMFBP1,2,TRUE,3.018419911,0.002540965543,0.02512448514
NPC2,2,TRUE,4.825496895,1.40E-06,7.13E-05
ELOVL3,2,TRUE,3.381335422,0.0007213442975,0.009519807232
PLXDC2,2,TRUE,-4.940683692,7.78E-07,4.38E-05
ENOX1,2,TRUE,-4.111328598,3.93E-05,0.001023532109
FAM53C,3,TRUE,3.312162721,0.0009257768139,0.01157118783
UTP20,2,TRUE,-4.465248243,8.00E-06,0.0002978696698
ACVR2A,2,TRUE,-3.8254103,0.0001305544653,0.002546310372
CCDC18,2,TRUE,4.465933364,7.97E-06,0.0002977860801
BICC1,3,TRUE,-4.625394014,3.74E-06,0.0001586845803
CDKN2C,2,TRUE,3.080426261,0.002067045313,0.02150366765
NMI,2,TRUE,3.946594647,7.93E-05,0.0017704228
XPO5,2,TRUE,-3.90308157,9.50E-05,0.00200547812
CPNE5,2,TRUE,4.729646312,2.25E-06,0.0001052469629
HS3ST3B1,2,TRUE,-4.147272871,3.36E-05,0.000920399018
DDX31,3,TRUE,-3.866154536,0.0001105648941,0.002255524097
POLR1B,3,TRUE,-3.559447825,0.0003716353539,0.005658690877
THOC2,3,TRUE,2.774253382,0.00553285661,0.04549408756
BFSP1,2,TRUE,3.090990384,0.001994900945,0.02091530258
TRAP1,2,TRUE,-3.450077852,0.0005604249101,0.007790455089
TNFRSF19,2,TRUE,-4.2590033,2.05E-05,0.0006413750892
PAICS,3,TRUE,-3.533323057,0.0004103706833,0.006145938429
TPST2,2,TRUE,-4.118067105,3.82E-05,0.001006363017
CLN6,2,TRUE,-3.598134896,0.0003205073799,0.00503626295
CDKN2D,2,TRUE,2.919417167,0.003506865794,0.03202302396
PGPEP1,4,TRUE,5.418947401,6.00E-08,4.94E-06
OSBPL2,3,TRUE,2.966428794,0.003012801164,0.02855232558
EXOSC2,2,TRUE,-2.861386856,0.004217920266,0.0370591
EIF2S3,2,TRUE,-2.971847995,0.002960131988,0.02819961682
DKC1,2,TRUE,-4.708157159,2.50E-06,0.0001141121991
MPP1,2,TRUE,3.174192298,0.00150254109,0.01682292938
MGAT1,2,TRUE,-3.710076943,0.0002071962659,0.003648680541
ACLY,2,TRUE,-2.777496361,0.005477945347,0.04523642651
THOC6,2,TRUE,-3.290741353,0.0009992374236,0.01225072753
GCH1,3,TRUE,4.326136847,1.52E-05,0.0004970692535
TRIM22,3,TRUE,5.370410653,7.86E-08,6.31E-06
RAP1GAP2,2,TRUE,-3.188314086,0.001431050011,0.01622152962
MYBBP1A,2,TRUE,-3.278733578,0.001042740296,0.01262790234
NIP7,2,TRUE,-4.089620659,4.32E-05,0.001103962502
BTBD3,3,TRUE,-2.756746477,0.005837959566,0.0473523387
DCAF8,3,TRUE,3.136711027,0.001708544329,0.01862342475
DPH2,3,TRUE,-4.846809077,1.25E-06,6.65E-05
USPL1,3,TRUE,-2.875386279,0.004035334807,0.03589930512
PEMT,2,TRUE,-2.741959724,0.006107382986,0.04919408426
DCLK1,2,TRUE,-2.743646448,0.006076093925,0.04900385094
TRPC4,2,TRUE,-4.678284628,2.89E-06,0.0001265621019
SLC2A11,2,TRUE,3.686918259,0.0002269862275,0.003892280613
LRRIQ1,2,TRUE,3.693329431,0.0002213369898,0.003815874305
MICAL2,2,TRUE,-4.17560154,2.97E-05,0.0008326152382
AP4B1,2,TRUE,-2.844751988,0.004444601467,0.03854273843
FKBP11,2,TRUE,-5.303414076,1.14E-07,8.59E-06
LDHA,4,TRUE,-2.851487834,0.004351515139,0.03799768004
DDB2,2,TRUE,3.32620301,0.0008803778273,0.01119597347
FHOD3,2,TRUE,-6.065312273,1.32E-09,1.83E-07
STT3A,2,TRUE,-4.699958232,2.60E-06,0.0001177165105
HILPDA,2,TRUE,-3.492047668,0.0004793326963,0.006919181011
AGAP2,2,TRUE,2.95172012,0.003160092194,0.02966713423
CDK4,2,TRUE,-5.248249854,1.54E-07,1.11E-05
SMYD5,2,TRUE,-3.742285162,0.0001823544147,0.003313766213
URB2,2,TRUE,-5.039552646,4.67E-07,2.85E-05
KIAA1614,2,TRUE,3.166811555,0.001541201556,0.01712115716
EIF4E2,2,TRUE,-2.901201971,0.00371734197,0.03368017281
TSGA10,2,TRUE,2.867086209,0.004142701489,0.03663692033
ISCU,2,TRUE,2.831325738,0.004635548555,0.03982456812
CKAP2,3,TRUE,2.944988826,0.003229663262,0.03018211278
SPRY2,2,TRUE,3.02702129,0.00246976563,0.0246348181
TNS3,3,TRUE,-2.741321466,0.006119260585,0.04925869815
BZW2,2,TRUE,-3.851386716,0.0001174508587,0.002366616278
IMP4,3,TRUE,-5.361378553,8.26E-08,6.59E-06
TOR1A,2,TRUE,2.778716576,0.005457411926,0.04512863412
ANGPTL2,3,TRUE,3.027951713,0.002462174269,0.02461210977
RABEPK,2,TRUE,-2.889176839,0.003862517912,0.0347435557
POLR1E,2,TRUE,-3.284916826,0.001020124812,0.01245898133
FOXF2,2,TRUE,-3.029339966,0.002450887136,0.02453768273
TCF19,3,TRUE,-3.421476101,0.0006228219855,0.008506987753
FAM8A1,3,TRUE,3.99815378,6.38E-05,0.001491395217
MRPL15,2,TRUE,-3.619044865,0.0002956923763,0.004745565462
PAK6,2,TRUE,5.462569927,4.69E-08,3.97E-06
